,name,num_actions,step
319,no_players,17,319
320,no_players,24,320
321,no_players,75,321
322,no_players,40,322
323,no_players,30,323
324,no_players,52,324
325,no_players,14,325
326,no_players,53,326
327,no_players,60,327
328,no_players,92,328
329,no_players,52,329
330,no_players,59,330
331,no_players,56,331
332,no_players,23,332
333,no_players,34,333
334,no_players,21,334
335,no_players,48,335
336,no_players,85,336
337,no_players,109,337
338,no_players,34,338
339,no_players,27,339
340,no_players,29,340
341,no_players,14,341
342,no_players,59,342
343,no_players,21,343
344,no_players,18,344
345,no_players,35,345
346,no_players,40,346
347,no_players,25,347
348,no_players,77,348
349,no_players,70,349
350,no_players,35,350
351,no_players,22,351
352,no_players,30,352
353,no_players,32,353
354,no_players,50,354
355,no_players,26,355
356,no_players,19,356
357,no_players,21,357
358,no_players,61,358
359,no_players,34,359
360,no_players,27,360
361,no_players,47,361
362,no_players,36,362
363,no_players,22,363
364,no_players,44,364
365,no_players,33,365
366,no_players,40,366
367,no_players,17,367
368,no_players,68,368
369,no_players,54,369
370,no_players,47,370
371,no_players,20,371
372,no_players,29,372
373,no_players,24,373
374,no_players,83,374
375,no_players,24,375
376,no_players,30,376
377,no_players,54,377
378,no_players,21,378
379,no_players,27,379
380,no_players,50,380
381,no_players,81,381
382,no_players,25,382
383,no_players,62,383
384,no_players,67,384
385,no_players,56,385
386,no_players,130,386
387,no_players,71,387
388,no_players,44,388
389,no_players,24,389
390,no_players,29,390
391,no_players,14,391
392,no_players,54,392
393,no_players,52,393
394,no_players,19,394
395,no_players,82,395
396,no_players,77,396
397,no_players,42,397
398,no_players,29,398
399,no_players,58,399
400,no_players,17,400
401,no_players,69,401
402,no_players,43,402
403,no_players,19,403
404,no_players,18,404
405,no_players,131,405
406,no_players,23,406
407,no_players,33,407
408,no_players,24,408
409,no_players,27,409
410,no_players,23,410
411,no_players,79,411
412,no_players,57,412
413,no_players,91,413
414,no_players,39,414
415,no_players,28,415
416,no_players,30,416
417,no_players,24,417
418,no_players,30,418
419,no_players,16,419
420,no_players,34,420
421,no_players,41,421
422,no_players,58,422
423,no_players,49,423
424,no_players,49,424
425,no_players,48,425
426,no_players,99,426
427,no_players,31,427
428,no_players,24,428
429,no_players,23,429
430,no_players,21,430
431,no_players,42,431
432,no_players,24,432
433,no_players,31,433
434,no_players,14,434
435,no_players,86,435
436,no_players,88,436
437,no_players,67,437
438,no_players,38,438
439,no_players,82,439
440,no_players,63,440
441,no_players,36,441
442,no_players,18,442
443,no_players,21,443
444,no_players,33,444
445,no_players,39,445
446,no_players,108,446
447,no_players,29,447
448,no_players,70,448
449,no_players,114,449
450,no_players,20,450
451,no_players,26,451
452,no_players,31,452
453,no_players,35,453
454,no_players,60,454
455,no_players,70,455
456,no_players,95,456
457,no_players,17,457
458,no_players,43,458
459,no_players,35,459
460,no_players,43,460
461,no_players,92,461
462,no_players,24,462
463,no_players,51,463
464,no_players,82,464
465,no_players,34,465
466,no_players,57,466
467,no_players,57,467
468,no_players,33,468
469,no_players,24,469
470,no_players,52,470
471,no_players,36,471
472,no_players,62,472
473,no_players,87,473
474,no_players,51,474
475,no_players,44,475
476,no_players,24,476
477,no_players,27,477
478,no_players,78,478
479,no_players,23,479
480,no_players,32,480
481,no_players,15,481
482,no_players,63,482
483,no_players,31,483
484,no_players,38,484
485,no_players,23,485
486,no_players,33,486
487,no_players,29,487
488,no_players,39,488
489,no_players,32,489
490,no_players,30,490
491,no_players,124,491
492,no_players,87,492
493,no_players,23,493
494,no_players,14,494
495,no_players,17,495
496,no_players,19,496
497,no_players,14,497
498,no_players,33,498
499,no_players,30,499
500,no_players,50,500
501,no_players,111,501
502,no_players,25,502
503,no_players,74,503
504,no_players,36,504
505,no_players,68,505
506,no_players,66,506
507,no_players,16,507
508,no_players,25,508
509,no_players,121,509
510,no_players,79,510
511,no_players,64,511
512,no_players,33,512
513,no_players,109,513
514,no_players,121,514
515,no_players,22,515
516,no_players,44,516
517,no_players,44,517
518,no_players,38,518
519,no_players,55,519
520,no_players,84,520
521,no_players,14,521
522,no_players,41,522
523,no_players,26,523
524,no_players,31,524
525,no_players,38,525
526,no_players,35,526
527,no_players,120,527
528,no_players,26,528
529,no_players,109,529
530,no_players,17,530
531,no_players,43,531
532,no_players,16,532
533,no_players,16,533
534,no_players,51,534
535,no_players,43,535
536,no_players,69,536
537,no_players,15,537
538,no_players,19,538
539,no_players,26,539
540,no_players,26,540
541,no_players,53,541
542,no_players,26,542
543,no_players,82,543
544,no_players,24,544
545,no_players,64,545
546,no_players,112,546
547,no_players,51,547
548,no_players,44,548
549,no_players,23,549
550,no_players,32,550
551,no_players,110,551
552,no_players,114,552
553,no_players,30,553
554,no_players,24,554
555,no_players,49,555
556,no_players,27,556
557,no_players,16,557
558,no_players,58,558
559,no_players,27,559
560,no_players,55,560
561,no_players,32,561
562,no_players,30,562
563,no_players,30,563
564,no_players,82,564
565,no_players,57,565
566,no_players,35,566
567,no_players,20,567
568,no_players,38,568
569,no_players,24,569
